"title","type","release_year","age_certification","runtime","seasons","imdb_score","imdb_votes","tmdb_popularity","tmdb_score","main_genre","country"
"Five Came Back: The Reference Films","SHOW",1945,"TV-MA",48,1,NA,NA,0.6,NA,"documentation","USA"
"Taxi Driver","MOVIE",1976,"R",113,NA,8.3,795222,27.612,8.2,"crime","USA"
"Monty Python and the Holy Grail","MOVIE",1975,"PG",91,NA,8.2,530877,18.216,7.8,"comedy","UK"
"Life of Brian","MOVIE",1979,"R",94,NA,8,392419,17.505,7.8,"comedy","UK"
"The Exorcist","MOVIE",1973,"R",133,NA,8.1,391942,95.337,7.7,"horror","USA"
"Monty Python's Flying Circus","SHOW",1969,"TV-14",30,4,8.8,72895,12.919,8.3,"comedy","UK"
"Dirty Harry","MOVIE",1971,"R",102,NA,7.7,153463,14.745,7.5,"thriller","USA"
"My Fair Lady","MOVIE",1964,"G",170,NA,7.8,94121,15.949,7.6,"drama","USA"
"The Blue Lagoon","MOVIE",1980,"R",104,NA,5.8,69053,44.038,6.2,"romance","USA"
"Bonnie and Clyde","MOVIE",1967,"R",110,NA,7.7,111189,15.309,7.5,"drama","USA"
"The Professionals","MOVIE",1966,"PG-13",117,NA,7.3,16168,12.155,7.1,"western","USA"
"The Guns of Navarone","MOVIE",1961,NA,158,NA,7.5,50150,15.405,7.4,"war","USA"
"Lupin the Third: The Castle of Cagliostro","MOVIE",1979,"PG",100,NA,7.6,30277,14.008,7.5,"comedy","Japan"
"Richard Pryor: Live in Concert","MOVIE",1979,"R",78,NA,8.1,5141,4.681,7.5,"comedy","USA"
"The Long Riders","MOVIE",1980,"R",99,NA,6.9,11329,8.808,6.6,"western","USA"
"White Christmas","MOVIE",1954,NA,115,NA,7.5,42373,9.71,7.2,"romance","USA"
"Cairo Station","MOVIE",1958,NA,77,NA,7.5,4385,3.556,7.4,"drama","Other"
"The Queen","MOVIE",1968,NA,68,NA,7.2,1117,2.419,6.5,"documentation","USA"
"Hitler: A Career","MOVIE",1977,"PG",150,NA,7.5,2416,9.305,7.4,"documentation","Germany"
"FTA","MOVIE",1972,"R",97,NA,6.2,411,2.466,6.1,"comedy","USA"
"Saladin the Victorious","MOVIE",1963,NA,186,NA,7.6,2470,4.816,7.1,"drama","Other"
"Singapore","MOVIE",1960,NA,158,NA,6.4,82,1.611,6.3,"drama","India"
"Dark Waters","MOVIE",1956,NA,120,NA,6.7,590,1.044,5.9,"drama","Other"
"Alexandria… Why?","MOVIE",1979,NA,133,NA,7.2,1689,1.736,6,"drama","Other"
"Raya and Sakina","MOVIE",1953,NA,105,NA,6.8,231,1.826,5.8,"drama","Other"
"No Longer Kids","MOVIE",1979,NA,235,NA,9,943,2.733,7.7,"comedy","Other"
"Amrapali","MOVIE",1966,NA,120,NA,6.7,225,2.047,6.3,"fantasy","India"
"Dostana","MOVIE",1980,NA,161,NA,2.1,25,3.46,4.9,"drama","India"
"The Blazing Sun","MOVIE",1954,NA,100,NA,7.4,1219,1.866,7,"romance","Other"
"The Return of the Prodigal Son","MOVIE",1976,NA,124,NA,7.2,768,3.768,5.4,"drama","Other"
"Prince","MOVIE",1969,NA,152,NA,6.9,168,1.788,7,"romance","India"
"Lock Your Girls In","MOVIE",1980,NA,230,NA,NA,NA,2.313,8,"comedy","Other"
"The Witness Who Didn't See Anything","MOVIE",1976,NA,217,NA,NA,NA,2.612,7.7,"comedy","Other"
"The School of Mischief","MOVIE",1973,NA,251,NA,NA,NA,3.381,8.5,"comedy","Other"
"Manoranjan","MOVIE",1974,NA,162,NA,6.5,236,1.22,5.3,"comedy","India"
"Beirut, Oh Beirut","MOVIE",1975,NA,110,NA,6.5,106,1.104,7.3,"drama","Other"
"We Are All for the Fatherland","MOVIE",1979,NA,74,NA,6.2,43,0.6,5.3,"documentation","France"
"Whispers","MOVIE",1980,NA,93,NA,7.8,75,1.4,5,"documentation","France"
"Lal Patthar","MOVIE",1971,NA,153,NA,6.2,137,0.732,7,"drama","India"
"Ujala","MOVIE",1959,NA,142,NA,6.7,78,0.998,6,"romance","India"
"Alibaba Aur 40 Chor","MOVIE",1979,NA,138,NA,6.2,555,2.554,6.8,"drama","India"
"Professor","MOVIE",1962,NA,163,NA,6.8,285,1.9,5.8,"romance","India"
"Chadi Jawani Budhe Nu","MOVIE",1976,NA,135,NA,4.6,14,1.24,6,"romance","India"
"Bandie","MOVIE",1978,NA,141,NA,4.2,35,1.097,6,"drama","India"
"Khoon Khoon","MOVIE",1973,NA,131,NA,5.1,41,1.08,3.8,"drama","India"
"Top Gun","MOVIE",1986,"PG",110,NA,6.9,329656,112.137,7,"drama","USA"
"Seinfeld","SHOW",1989,"TV-PG",24,9,8.9,302700,128.743,8.3,"comedy","USA"
"Stand by Me","MOVIE",1986,"R",89,NA,8.1,392790,16.096,7.9,"drama","USA"
"Once Upon a Time in America","MOVIE",1984,"R",229,NA,8.3,342335,21.322,8.4,"drama","USA"
"When Harry Met Sally...","MOVIE",1989,"R",96,NA,7.7,212913,16.005,7.4,"romance","USA"
"Teenage Mutant Ninja Turtles","MOVIE",1990,"PG",93,NA,6.7,92647,22.75,6.6,"scifi","Other"
"Full Metal Jacket","MOVIE",1987,"R",116,NA,8.3,723306,36.502,8.1,"drama","UK"
"Christine","MOVIE",1983,"R",90,NA,6.7,80945,19.311,6.8,"horror","USA"
"A Nightmare on Elm Street","MOVIE",1984,"R",91,NA,7.4,230543,53.853,7.3,"horror","USA"
"Knight Rider","SHOW",1982,"TV-PG",51,4,6.9,33760,44.378,7.5,"action","USA"
"Awakenings","MOVIE",1990,"PG-13",120,NA,7.8,137549,13.761,7.8,"drama","USA"
"Thomas & Friends","SHOW",1984,"TV-Y",10,24,6.5,4948,49.384,6.6,"family","UK"
"Annie","MOVIE",1982,"PG",127,NA,6.6,44866,15.857,6.5,"drama","USA"
"Pet Sematary","MOVIE",1989,"R",103,NA,6.5,102212,32.854,6.6,"horror","USA"
"Saved by the Bell","SHOW",1989,"TV-G",23,5,7.1,34854,16.945,8,"comedy","USA"
"She's Gotta Have It","MOVIE",1986,"R",84,NA,6.7,14277,6.212,6.7,"comedy","USA"
"Eddie Murphy Raw","MOVIE",1987,"R",93,NA,7.6,19646,9.727,7.3,"comedy","USA"
"Endless Love","MOVIE",1981,"R",116,NA,4.9,8374,19.518,5.6,"drama","USA"
"Wheel of Fortune","SHOW",1983,"TV-G",26,39,6.7,3126,1440.855,6.7,"family","USA"
"Major Dad","SHOW",1989,"TV-PG",24,4,6.4,2866,7.506,6.3,"comedy","USA"
"Fireman Sam","SHOW",1987,"TV-Y",10,13,6.1,1759,25.697,7.3,"comedy","UK"
"Danger Mouse","SHOW",1981,"TV-Y",15,10,7.4,3514,7.748,7.4,"comedy","UK"
"Mobile Suit Gundam II: Soldiers of Sorrow","MOVIE",1981,NA,133,NA,7.2,1242,12.744,7.2,"scifi","Japan"
"Mobile Suit Gundam: Char's Counterattack","MOVIE",1988,NA,120,NA,7.3,1649,8.356,6.8,"scifi","Japan"
"Sam Kinison: Breaking the Rules","MOVIE",1987,"R",50,NA,7.2,651,1.791,7.2,"comedy","USA"
"Tim Allen: Men Are Pigs","MOVIE",1990,NA,30,NA,6,353,1.46,6.3,"comedy","USA"
"Monty Python Live at the Hollywood Bowl","MOVIE",1982,"R",77,NA,7.9,15186,7.641,7.4,"comedy","UK"
"The George McKenna Story","MOVIE",1988,NA,100,NA,6,901,1.631,6.1,"drama","USA"
"Unspeakable Acts","MOVIE",1990,NA,100,NA,6,448,2.596,5.3,"drama","USA"
"Waiting for the Hearse","MOVIE",1985,NA,87,NA,8,6285,8.19,8.2,"comedy","Argentina"
"Mobile Suit Gundam III: Encounters in Space","MOVIE",1982,NA,144,NA,7.7,1210,11.448,7.5,"animation","Japan"
"Agneepath","MOVIE",1990,NA,174,NA,7.6,8902,4.372,6.5,"action","India"
"Parrot Sketch Not Included: Twenty Years of Monty Python","MOVIE",1989,NA,72,NA,8.1,1522,1.429,6.8,"comedy","UK"
"Too Young The Hero","MOVIE",1988,NA,100,NA,6.7,494,1.291,6.9,"drama","USA"
"Adam: His Song Continues","MOVIE",1986,NA,100,NA,7,209,2.203,7,"crime","USA"
"Disco Dancer","MOVIE",1982,NA,134,NA,6.5,1449,3.042,5.3,"drama","India"
"The Ryan White Story","MOVIE",1989,NA,102,NA,7.2,857,1.714,6.4,"drama","USA"
"In Defense of a Married Man","MOVIE",1990,NA,94,NA,5.6,200,2.768,4.9,"drama","USA"
"Dil","MOVIE",1990,NA,172,NA,6.6,5273,2.38,6.5,"romance","India"
"Bye Bye London","MOVIE",1982,NA,170,NA,8.7,154,1.465,7.5,"comedy","Other"
"Quiet Victory: The Charlie Wedemeyer Story","MOVIE",1988,NA,100,NA,7.1,144,2.673,8,"drama","USA"
"Alexandria, Again and Forever","MOVIE",1989,NA,105,NA,6.5,643,3.021,5.3,"drama","Other"
"Strange Voices","MOVIE",1987,NA,100,NA,6.3,357,2.564,6.8,"drama","USA"
"Aakhri Adaalat","MOVIE",1988,NA,148,NA,5.1,92,1.15,5,"action","India"
"A Stoning in Fulham County","MOVIE",1988,NA,120,NA,5.8,380,1.509,5.8,"crime","USA"
"The Married Couples","MOVIE",1981,NA,194,NA,NA,NA,1.532,9.2,"drama","Other"
"Sayed The Servant","MOVIE",1985,NA,166,NA,NA,NA,4.494,7.6,"comedy","Other"
"Muqaddar Ka Faisla","MOVIE",1987,NA,172,NA,4.8,68,1.825,NA,"comedy","India"
"Sohni Mahiwal","MOVIE",1984,NA,160,NA,6.1,297,2.002,5.8,"romance","India"
"The Little Wars","MOVIE",1982,NA,108,NA,6.3,149,1.069,5.5,"drama","France"
"Bill Hicks: Sane Man","MOVIE",1989,"R",81,NA,NA,NA,3.245,7.5,"comedy","USA"
"Duniya","MOVIE",1984,NA,170,NA,6.2,241,1.476,NA,"drama","India"
"High Risk","SHOW",1988,"TV-PG",50,1,3.8,6,0.6,NA,"comedy","USA"
"Pyar Ke Do Pal","MOVIE",1986,NA,153,NA,6.1,65,1.094,NA,"drama","India"
"Jaal","MOVIE",1986,NA,159,NA,5.2,122,3.243,5,"drama","India"
"Mujrim","MOVIE",1989,NA,162,NA,5.4,188,2.744,6,"drama","India"
"An Egyptian Story","MOVIE",1982,NA,129,NA,7.3,1113,2.547,6.7,"fantasy","Other"
"Ek Jaan Hain Hum","MOVIE",1983,NA,151,NA,6.3,70,0.892,7,"family","India"
"The Quick and the Dead","MOVIE",1995,"R",107,NA,6.5,92224,17.543,6.5,"western","USA"
"Survivor","SHOW",2000,"TV-PG",48,42,7.4,24368,73.107,7.3,"reality","USA"
"Stargate SG-1","SHOW",1997,"TV-PG",44,10,8.4,90196,167.57,8.2,"scifi","USA"
"Pokémon","SHOW",1997,"TV-Y7",22,24,7.6,172,138.135,7.6,"scifi","Japan"
"Forrest Gump","MOVIE",1994,"PG-13",142,NA,8.8,1994599,57.114,8.5,"drama","USA"
"Happy Gilmore","MOVIE",1996,"PG-13",92,NA,7,217534,16.583,6.6,"comedy","USA"
"One Piece","SHOW",1999,"TV-14",23,21,8.8,112586,105.955,8.8,"action","Japan"
"Saving Private Ryan","MOVIE",1998,"R",169,NA,8.6,1346020,54.874,8.2,"drama","USA"
"Cowboy Bebop","SHOW",1998,"TV-14",25,1,8.9,112887,34.769,8.5,"western","Japan"
"Star Trek: Deep Space Nine","SHOW",1993,"TV-PG",47,7,8.1,61145,61.159,7.9,"scifi","USA"
"The Challenge","SHOW",1998,"TV-14",40,37,7.8,3274,15.699,7.6,"reality","USA"
"Gattaca","MOVIE",1997,"PG-13",106,NA,7.8,298168,18.355,7.6,"thriller","USA"
"Gilmore Girls","SHOW",2000,"TV-14",46,8,8.2,119054,51.125,7.8,"comedy","USA"
"Blade","MOVIE",1998,"R",120,NA,7.1,267181,47.411,6.7,"action","USA"
"You've Got Mail","MOVIE",1998,"PG",119,NA,6.7,209258,15.015,6.6,"romance","USA"
"Starship Troopers","MOVIE",1997,"R",129,NA,7.3,288960,22.126,7,"scifi","USA"
"Neon Genesis Evangelion","SHOW",1995,"TV-14",24,1,8.5,64727,51.993,8.6,"scifi","Japan"
"The Magic School Bus","SHOW",1994,"TV-Y",26,4,7.8,9708,30.176,7.9,"scifi","USA"
"Donnie Brasco","MOVIE",1997,"R",127,NA,7.7,300073,14.769,7.5,"thriller","USA"
"Power Rangers","SHOW",1993,"TV-Y7",22,29,6.5,21949,21.083,6.7,"scifi","USA"
"U.S. Marshals","MOVIE",1998,"PG-13",126,NA,6.5,103263,28.657,6.5,"thriller","USA"
"Adventures of Sonic the Hedgehog","SHOW",1993,"TV-Y7",22,4,6.2,3808,23.374,6.2,"action","USA"
"Wild Things","MOVIE",1998,"R",108,NA,6.6,118811,22.205,6.3,"drama","USA"
"Last Action Hero","MOVIE",1993,"PG-13",130,NA,6.4,149290,18.865,6.4,"comedy","USA"
"Seven Years in Tibet","MOVIE",1997,"PG-13",136,NA,7.1,141308,14.442,7.2,"drama","USA"
"The Devil's Advocate","MOVIE",1997,NA,144,NA,7.5,361422,34.774,7.4,"horror","Germany"
"A River Runs Through It","MOVIE",1992,"PG",123,NA,7.2,59086,16.558,7.1,"drama","USA"
"Girl, Interrupted","MOVIE",1999,"R",127,NA,7.3,180532,17.613,7.5,"drama","USA"
"Goosebumps","SHOW",1995,"TV-PG",22,4,7.6,13361,88.924,8,"scifi","Canada"
"Yu-Gi-Oh!","SHOW",1998,"TV-Y",22,7,7.2,20888,75.438,7.3,"scifi","Japan"
"InuYasha","SHOW",2000,"TV-14",25,9,7.9,15823,149.742,8.6,"action","Japan"
"Any Given Sunday","MOVIE",1999,"R",162,NA,6.9,118479,13.825,6.8,"drama","USA"
"Menace II Society","MOVIE",1993,"R",97,NA,7.5,57399,15.347,7.5,"drama","USA"
"Desperado","MOVIE",1995,"R",104,NA,7.1,183638,19.718,6.9,"thriller","USA"
"The Mask of Zorro","MOVIE",1998,"PG-13",136,NA,6.8,181306,25.426,6.5,"action","USA"
"The Patriot","MOVIE",2000,"R",165,NA,7.2,270231,20.438,7.1,"drama","Germany"
"Road Trip","MOVIE",2000,"R",93,NA,6.5,167670,16.989,6.2,"comedy","USA"
"Free Willy","MOVIE",1993,"PG",112,NA,6,75244,31.688,6.2,"drama","USA"
"My First Errand","SHOW",1991,"TV-G",19,12,NA,NA,12.155,7,"reality","Japan"
"3 Ninjas Kick Back","MOVIE",1994,"PG",93,NA,4.5,9208,9.773,5.5,"action","USA"
"In the Line of Fire","MOVIE",1993,"R",128,NA,7.2,101939,15.02,7,"drama","USA"
"The Replacements","MOVIE",2000,"PG-13",118,NA,6.6,64087,13.465,6.6,"comedy","USA"
"Johnny Mnemonic","MOVIE",1995,"R",97,NA,5.6,71062,11.747,5.7,"scifi","USA"
"Little Women","MOVIE",1994,"PG",115,NA,7.3,57621,17.027,7.3,"drama","USA"
"Anaconda","MOVIE",1997,"PG-13",89,NA,4.8,103459,31.57,5.1,"thriller","Other"
"My Girl","MOVIE",1991,"PG",103,NA,6.9,79800,21.381,7.4,"comedy","USA"
"Cliffhanger","MOVIE",1993,"R",112,NA,6.5,128179,20.292,6.4,"thriller","Italy"
"I Know What You Did Last Summer","MOVIE",1997,"R",101,NA,5.7,142696,18.102,5.9,"horror","USA"
"Teenage Mutant Ninja Turtles II: The Secret of the Ooze","MOVIE",1991,"PG",88,NA,6,55499,16.459,6.1,"scifi","USA"
"Barney & Friends","SHOW",1992,"TV-G",28,14,3.8,9955,46.955,5,"family","USA"
"Hollow Man","MOVIE",2000,"R",112,NA,5.8,130099,24.125,5.9,"scifi","Germany"
"Godzilla","MOVIE",1998,"PG-13",133,NA,5.4,191722,38.87,5.6,"thriller","USA"
"Neon Genesis Evangelion: The End of Evangelion","MOVIE",1997,NA,87,NA,8,51938,36.756,8.4,"scifi","Japan"
"Spawn","MOVIE",1997,"PG-13",96,NA,5.2,67761,15.124,5.3,"fantasy","USA"
"Dennis the Menace","MOVIE",1993,"PG",95,NA,5.6,60779,24.079,5.8,"comedy","USA"
"The Net","MOVIE",1995,"PG-13",114,NA,5.9,66127,11.838,6,"thriller","USA"
"The Devil's Own","MOVIE",1997,"R",107,NA,6.2,64625,11.387,6.1,"thriller","USA"
"Croupier","MOVIE",1998,"R",94,NA,7,21382,7.89,6.8,"thriller","France"
"Teenage Mutant Ninja Turtles III","MOVIE",1993,"PG",96,NA,4.7,33128,15.356,5.4,"fantasy","Other"
"The General's Daughter","MOVIE",1999,"R",116,NA,6.4,58726,11.976,6.4,"drama","USA"
"The Next Karate Kid","MOVIE",1994,"PG",107,NA,4.5,30138,20.882,5.3,"drama","USA"
"I Still Know What You Did Last Summer","MOVIE",1998,"R",100,NA,4.7,73269,17.756,5.3,"thriller","USA"
"Double Team","MOVIE",1997,"R",93,NA,4.7,34127,12.697,5.1,"scifi","USA"
"Under Suspicion","MOVIE",2000,"R",110,NA,6.5,25432,11.459,6.1,"thriller","USA"
"Moesha","SHOW",1996,"TV-PG",21,6,5.7,3713,7.483,7.3,"drama","USA"
"Sister, Sister","SHOW",1994,"TV-PG",22,6,6.2,12535,12.029,7.6,"comedy","USA"
"Cardcaptor Sakura","SHOW",1998,"TV-Y7",25,4,8,4936,53.714,8.7,"scifi","Japan"
"Geronimo: An American Legend","MOVIE",1993,"PG-13",115,NA,6.5,11506,10.551,6.3,"western","USA"
"The Mirror Has Two Faces","MOVIE",1996,"PG-13",126,NA,6.6,19829,8.391,6.7,"romance","USA"
"Girlfriends","SHOW",2000,"TV-PG",21,8,7.2,4482,17.929,7.6,"comedy","USA"
"Bill Hicks: One Night Stand","MOVIE",1991,"NC-17",30,NA,NA,NA,1.08,7.5,"comedy","USA"
"Knight Rider 2000","MOVIE",1991,"G",91,NA,4.5,3178,8.52,5.1,"action","USA"
"The Last Days","MOVIE",1998,"PG-13",87,NA,7.9,4247,4.869,7.8,"drama","USA"
"The Parkers","SHOW",1999,"TV-PG",19,5,6.8,2346,9.733,8,"comedy","USA"
"Heavy","MOVIE",1995,"R",105,NA,6.8,4921,5.31,6.8,"romance","USA"
"Bill Hicks: Revelations","MOVIE",1993,NA,74,NA,8.5,3085,3.88,8.1,"comedy","UK"
"Sankofa","MOVIE",1993,NA,124,NA,7,678,2.783,6.5,"drama","Other"
"Bill Hicks: Relentless","MOVIE",1992,NA,61,NA,NA,NA,4.105,7.9,"comedy","UK"
"Jerry Seinfeld: I'm Telling You for the Last Time","MOVIE",1998,"G",75,NA,7.9,5834,5.834,7.6,"comedy","USA"
"Children of God","MOVIE",1994,NA,63,NA,6.4,589,2.809,6.4,"documentation","UK"
"Wild Tango","MOVIE",1993,"R",124,NA,6.7,1564,3.259,6.3,"drama","Argentina"
"Kuch Kuch Hota Hai","MOVIE",1998,"G",185,NA,7.6,51640,12.564,7.7,"drama","India"
"Oggy and the Cockroaches","SHOW",1999,"TV-Y7",9,7,7.4,4185,26.074,7.5,"comedy","France"
"H","SHOW",1998,"TV-MA",25,4,7.4,1703,11.362,7.6,"comedy","France"
"Herod's Law","MOVIE",1999,"R",120,NA,7.8,5943,11.526,7.9,"drama","Mexico"
"Tim Allen: Rewires America","MOVIE",1991,"PG",30,NA,5.9,195,1.339,7,"comedy","USA"
"Heartbreak High","SHOW",1994,"TV-MA",47,7,7.8,3106,16.211,7.3,"drama","Australia"
"Dil Se..","MOVIE",1998,"PG-13",163,NA,7.5,28409,6.381,6.8,"drama","India"
"Escalona","SHOW",1991,"TV-MA",44,1,NA,NA,9.244,7.7,"drama","Other"
"Aashik Aawara","MOVIE",1993,NA,153,NA,4.7,320,1.082,4.7,"romance","India"
"Destiny","MOVIE",1997,NA,136,NA,7.1,2825,3.928,6.6,"drama","Other"
"Oh Darling! Yeh Hai India!","MOVIE",1995,"G",153,NA,4,1678,2.566,4.8,"comedy","India"
"A Triumph of the Heart: The Ricky Bell Story","MOVIE",1991,NA,100,NA,7.2,248,3.255,5.1,"drama","USA"
"Bombay","MOVIE",1995,NA,141,NA,8.1,12512,3.771,7.2,"romance","India"
"West Beirut","MOVIE",1998,"PG-13",105,NA,7.6,4175,3.996,7.4,"romance","Other"
"Muthu","MOVIE",1995,"G",165,NA,7.6,3056,5.577,6.9,"drama","India"
"Qila","MOVIE",1998,NA,160,NA,4.8,129,1.221,6,"drama","India"
"Ram Jaane","MOVIE",1995,NA,172,NA,5.4,3901,4.396,5,"action","India"
"Chamatkar","MOVIE",1992,"G",171,NA,6.5,6199,5.065,6.6,"comedy","India"
"Soldier","MOVIE",1998,NA,156,NA,6.2,3025,2.471,5.7,"thriller","India"
"Okupas","SHOW",2000,"TV-MA",40,1,9,2326,6.971,8.8,"crime","Argentina"
"Hum Saath Saath Hain","MOVIE",1999,"G",177,NA,6.2,8454,4.91,6,"fantasy","India"
"Kabhi Haan Kabhi Naa","MOVIE",1994,"G",158,NA,7.6,18224,5.028,6.6,"comedy","India"
"Nightmare in Columbia County","MOVIE",1991,NA,100,NA,5.5,341,1.603,6,"drama","USA"
"Phir Bhi Dil Hai Hindustani","MOVIE",2000,"PG-13",160,NA,6.1,7556,6.39,6.6,"comedy","India"
"Sam Kinison: Family Entertainment Hour","MOVIE",1991,NA,49,NA,NA,NA,2.545,6,"comedy","USA"
"Jeans","MOVIE",1998,NA,175,NA,6.4,3567,2.862,6.5,"drama","India"
"Chaahat","MOVIE",1996,"G",155,NA,5.5,2837,2.947,7,"drama","India"
"Hum Aapke Hain Koun..!","MOVIE",1994,NA,206,NA,7.5,20986,6.655,6.5,"romance","India"
"Maya Memsaab","MOVIE",1993,"PG-13",126,NA,5.4,2177,5.307,5.5,"romance","India"
"Out of Life","MOVIE",1991,NA,97,NA,6.9,365,3.192,6.2,"war","Italy"
"Duplicate","MOVIE",1998,"PG",165,NA,5.5,7557,6.309,6,"comedy","India"
"Govindha Govindha","MOVIE",1993,NA,145,NA,6.6,351,1.023,4,"drama","India"
"Damini","MOVIE",1993,NA,180,NA,7.8,3490,3.444,7.3,"drama","India"
"English Babu Desi Mem","MOVIE",1996,"PG",172,NA,4.5,2322,2.135,5.2,"romance","India"
"Before the Flying Circus","MOVIE",2000,NA,55,NA,7.3,161,2.211,8.5,"comedy","UK"
"Sam Kinison: Live in Vegas","MOVIE",1991,NA,72,NA,6.6,272,1.37,6,"comedy","USA"
"Anjaam","MOVIE",1994,NA,146,NA,6.6,6465,3.143,7.1,"thriller","India"
"Mann","MOVIE",1999,NA,174,NA,6.1,5413,2.852,6.8,"drama","India"
"Monty Python: Live at Aspen","MOVIE",1998,NA,58,NA,7.8,1092,3.291,6.9,"comedy","USA"
"Sinbad: Afros and Bellbottoms","MOVIE",1993,"PG-13",59,NA,7.8,166,2.935,5.5,"comedy","USA"
"The Other","MOVIE",1999,NA,106,NA,5.9,987,0.981,5.9,"drama","Other"
"Sinbad: Son of a Preacher Man","MOVIE",1996,NA,56,NA,6.7,115,2.328,5.8,"comedy","USA"
"Children of Shatila","MOVIE",1999,NA,50,NA,8.2,74,1.174,6.7,"documentation","Other"
"Gumrah","MOVIE",1993,NA,149,NA,6.1,784,2.345,6.7,"action","India"
"The Emigrant","MOVIE",1994,NA,129,NA,6.5,998,3.436,5.6,"drama","Other"
"Yodha","MOVIE",1991,NA,142,NA,4.5,198,0.6,5,"drama","India"
"Avvai Shanmugi","MOVIE",1996,"PG-13",160,NA,7.9,2528,3.988,7.4,"drama","India"
"Minsara Kanavu","MOVIE",1997,"G",145,NA,6.7,1212,1.729,6.6,"comedy","India"
"Chronicle of a Disappearance","MOVIE",1996,NA,88,NA,6.9,718,1.958,6.7,"drama","USA"
"Yaar Gaddar","MOVIE",1994,NA,147,NA,3.6,142,2.755,4,"crime","India"
"Sinbad: Nothin' but the Funk","MOVIE",1998,NA,55,NA,6.2,65,1.822,5.3,"comedy","USA"
"Dushmani","MOVIE",1995,NA,156,NA,5,248,2.741,7.5,"romance","India"
"Fiza","MOVIE",2000,NA,170,NA,6,4168,3.297,6.3,"drama","India"
"Hello Brother","MOVIE",1999,NA,131,NA,4.6,4230,2.239,5.3,"romance","India"
"Have You Ever Seen Fireflies? - Theatre Play","MOVIE",1999,NA,118,NA,NA,NA,1.844,7.5,"drama","Turkey"
"Shikari","MOVIE",1991,NA,162,NA,5.9,66,1.406,5,"drama","India"
"Breaking Bad","SHOW",2008,"TV-MA",48,5,9.5,1727694,337.419,8.8,"drama","USA"
"The Walking Dead","SHOW",2010,"TV-MA",46,11,8.2,945125,773.19,8.1,"action","USA"
"The Staircase","SHOW",2004,"TV-MA",49,2,7.8,21531,14.185,7.7,"crime","France"
"Downton Abbey","SHOW",2010,"TV-14",58,6,8.7,197744,57.029,8.1,"drama","UK"
"Grey's Anatomy","SHOW",2005,"TV-14",49,18,7.6,293618,1215.393,8.3,"drama","USA"
"The Great British Baking Show","SHOW",2010,"TV-PG",57,12,8.6,9564,10.825,7.7,"reality","UK"
"Criminal Minds","SHOW",2005,"TV-14",44,15,8.1,189191,401.416,8.3,"thriller","USA"
"NCIS","SHOW",2003,"TV-14",44,19,7.8,141049,254.207,7.6,"action","USA"
"Community","SHOW",2009,"TV-PG",23,6,8.5,252564,48.311,8,"comedy","USA"
"Heartland","SHOW",2007,"TV-PG",44,15,8.4,15743,68.46,8.3,"drama","Canada"
"Supernatural","SHOW",2005,"TV-14",45,15,8.5,428639,406.666,8.3,"scifi","USA"
"Forgetting Sarah Marshall","MOVIE",2008,"R",111,NA,7.1,280121,18.358,6.5,"comedy","USA"
"War of the Worlds","MOVIE",2005,"PG-13",117,NA,6.5,439027,38.657,6.5,"thriller","USA"
"Arrested Development","SHOW",2003,"TV-MA",28,5,8.7,297552,54.388,8.1,"comedy","USA"
"The IT Crowd","SHOW",2006,"TV-14",25,5,8.5,147409,27.917,8.1,"comedy","UK"
"30 Rock","SHOW",2006,"TV-14",25,7,8.3,121514,34.689,7.4,"comedy","USA"
"Avatar: The Last Airbender","SHOW",2005,"TV-Y7",24,3,9.3,297336,61.284,8.7,"scifi","USA"
"Inception","MOVIE",2010,"PG-13",148,NA,8.8,2268288,109.09,8.4,"scifi","UK"
"The Other Guys","MOVIE",2010,NA,107,NA,6.6,263019,50.29,6.3,"crime","USA"
"How to Train Your Dragon","MOVIE",2010,"PG",98,NA,8.1,719717,71.782,7.8,"fantasy","USA"
"Friday Night Lights","SHOW",2006,"TV-14",43,5,8.7,64449,32.434,8,"drama","USA"
"Casino Royale","MOVIE",2006,NA,139,NA,8,644336,41.332,7.5,"thriller","UK"
"Michael Clayton","MOVIE",2007,"R",120,NA,7.2,163878,11.418,6.7,"thriller","USA"
"My Little Pony: Friendship Is Magic","SHOW",2010,"TV-Y7",22,9,7.6,20708,49.715,8.1,"scifi","Canada"
"The Fairly OddParents","SHOW",2001,"TV-Y7",24,10,7.2,38046,151.92,7.7,"scifi","USA"
"Jackass: The Movie","MOVIE",2002,"R",88,NA,6.6,92305,30.13,6.3,"action","USA"
"Sonic X","SHOW",2003,"TV-Y7",21,3,6.1,4577,104.486,7.5,"action","Japan"
"DEATH NOTE","SHOW",2006,"TV-14",24,1,9,302147,104.037,8.7,"scifi","Japan"
"Zoolander","MOVIE",2001,"PG-13",90,NA,6.5,260975,19.411,6.2,"comedy","USA"
"The Vampire Diaries","SHOW",2009,"TV-14",42,8,7.7,310776,463.661,8.3,"scifi","USA"
"Charlie and the Chocolate Factory","MOVIE",2005,"PG",106,NA,6.6,465995,156.231,7,"fantasy","UK"
"Cleaner","MOVIE",2007,"R",88,NA,6.1,41052,9.202,6,"thriller","USA"
"Harold & Kumar Go to White Castle","MOVIE",2004,"R",88,NA,7,193053,15.067,6.5,"comedy","USA"
"The Social Network","MOVIE",2010,"PG-13",121,NA,7.8,681286,33.023,7.3,"drama","USA"
