"title","type","release_year","age_certification","runtime","seasons","imdb_score","imdb_votes","tmdb_popularity","tmdb_score","main_genre","country"
"The Delivery Boy","MOVIE",2018,NA,66,NA,6.2,74,1.865,5.5,"thriller","Nigeria"
"Jack Whitehall: Travels with My Father","SHOW",2017,"TV-MA",46,5,7.6,5388,6.26,7.4,"reality","UK"
"Little Italy","MOVIE",2018,"R",102,NA,5.7,14492,16.841,6.8,"romance","USA"
"Teasing Master Takagi-san","SHOW",2018,"TV-PG",24,3,7.7,2030,42.087,8.3,"comedy","Japan"
"The Boss Baby: Back in Business","SHOW",2018,"TV-G",23,4,6.4,3595,47.064,7,"action","USA"
"The Outsider","MOVIE",2018,"R",120,NA,6.2,25223,12.155,6.2,"crime","USA"
"Skins","MOVIE",2017,NA,78,NA,6.1,5686,16.673,6.6,"comedy","Spain"
"Hannah Gadsby: Nanette","MOVIE",2018,NA,69,NA,8.1,12035,7.7,8.1,"comedy","Australia"
"Banana Split","MOVIE",2018,"R",88,NA,6.2,3190,8.441,6.8,"comedy","USA"
"Scissor Seven","SHOW",2018,"TV-PG",15,3,8.5,297,93.943,8.8,"action","China"
"Damnation","SHOW",2017,"TV-MA",43,1,7.6,8111,10.571,7,"western","USA"
"Creep 2","MOVIE",2017,"R",80,NA,6.4,24468,13.772,6.3,"horror","USA"
"Dumplin'","MOVIE",2018,"PG-13",110,NA,6.5,33206,11.126,6.8,"comedy","USA"
"Shirkers","MOVIE",2018,NA,96,NA,7.4,5020,9.789,7.6,"documentation","UK"
"The After Party","MOVIE",2018,NA,89,NA,5.7,4348,11.314,6.2,"comedy","USA"
"Red Joan","MOVIE",2018,"R",101,NA,6.4,12124,13.95,6.7,"thriller","UK"
"Mute","MOVIE",2018,"R",126,NA,5.4,34788,14.672,5.6,"thriller","UK"
"The Magic School Bus Rides Again","SHOW",2017,"TV-Y",25,3,6.2,812,17.774,6.3,"animation","USA"
"Hell Fest","MOVIE",2018,"R",89,NA,5.5,16610,19.161,5.6,"horror","USA"
"Small Town Crime","MOVIE",2018,"R",91,NA,6.6,11167,8.056,6.4,"thriller","USA"
"Adrift","MOVIE",2018,"PG-13",96,NA,6.6,54750,25.491,6.9,"thriller","Other"
"Cathedral of the Sea","SHOW",2018,"TV-MA",57,1,7.4,4292,15.73,7,"drama","Spain"
"Haunted","SHOW",2018,"TV-MA",25,3,4.6,3150,14.069,7,"documentation","USA"
"Happy as Lazzaro","MOVIE",2018,"PG-13",125,NA,7.5,17716,8.348,7.4,"fantasy","Italy"
"A Bad Moms Christmas","MOVIE",2017,"R",104,NA,5.6,49478,17.717,6.3,"comedy","USA"
"A-X-L","MOVIE",2018,"PG-13",98,NA,5.3,11785,38.144,6.3,"scifi","USA"
"The Other Side of the Wind","MOVIE",2018,"R",122,NA,6.7,7104,8.717,6.7,"drama","USA"
"Dave Chappelle","SHOW",2017,NA,60,1,8.7,2753,2.962,7.6,"comedy","USA"
"Ravenous","MOVIE",2017,NA,104,NA,5.8,9154,11.236,5.8,"horror","Canada"
"Salt Fat Acid Heat","SHOW",2018,NA,40,1,7.7,2419,2.923,8.4,"documentation","USA"
"Great News","SHOW",2017,"TV-PG",21,2,7,6810,8.409,6.5,"comedy","USA"
"Dark Tourist","SHOW",2018,"TV-MA",41,1,7.5,7158,11.337,6.5,"action","Other"
"22 July","MOVIE",2018,"R",143,NA,6.8,33246,19.825,7.2,"thriller","Other"
"Abstract: The Art of Design","SHOW",2017,"TV-14",45,2,8.4,5306,14.406,8,"documentation","USA"
"Victoria & Abdul","MOVIE",2017,"PG-13",112,NA,6.8,35458,12.817,7,"drama","UK"
"Bakugan: Battle Planet","SHOW",2018,"TV-Y7",20,4,5.1,220,26.814,6.8,"scifi","Japan"
"May the Devil Take You","MOVIE",2018,"R",110,NA,5.9,4209,11.16,6.3,"thriller","Indonesia"
"Kakegurui","SHOW",2017,"TV-14",24,2,7.2,8547,98.728,8.3,"action","Japan"
"Numberblocks","SHOW",2017,"TV-Y",5,5,8.6,198,7.052,9.5,"animation","UK"
"Dogs","SHOW",2018,"TV-PG",50,2,8,1269,2.44,8.3,"documentation","USA"
"The Forest","SHOW",2017,"TV-MA",52,1,7.2,10137,28.763,7.1,"crime","France"
"Buster's Mal Heart","MOVIE",2017,NA,96,NA,6.2,10490,10.799,6.2,"thriller","USA"
"Zoids Wild","SHOW",2018,"TV-Y7",21,1,6,25,7.586,NA,"scifi","Japan"
"Death Note","MOVIE",2017,"NC-17",101,NA,4.5,83519,43.924,4.2,"fantasy","USA"
"Mr. Sunshine","SHOW",2018,"TV-MA",76,1,8.7,6855,26.485,8.4,"drama","Korea"
"Bright","MOVIE",2017,"R",117,NA,6.3,183841,25.593,6.2,"thriller","USA"
"The Incredible Jessica James","MOVIE",2017,NA,83,NA,6.5,7496,8.304,6.2,"comedy","USA"
"The Kissing Booth","MOVIE",2018,NA,105,NA,5.9,81639,79.881,7.3,"romance","UK"
"Handsome Devil","MOVIE",2017,NA,95,NA,7,13708,11.599,7.1,"drama","Other"
"Hotel Transylvania: The Series","SHOW",2017,"TV-Y7",16,2,5.5,694,24.098,7.4,"comedy","USA"
"Sand Castle","MOVIE",2017,NA,113,NA,6.3,22854,47.136,6.5,"drama","Other"
"My Mister","SHOW",2018,"TV-14",79,1,9.2,5481,14.997,8.9,"drama","Korea"
"Magic for Humans","SHOW",2018,"TV-14",24,3,7.1,3316,11.61,6.8,"comedy","USA"
"Bill Nye Saves the World","SHOW",2017,"TV-14",30,3,3.5,7233,9.87,3.6,"comedy","USA"
"1983","SHOW",2018,"TV-MA",57,1,6.8,4173,8.68,6.5,"drama","Other"
"Errementari: The Blacksmith and the Devil","MOVIE",2018,NA,98,NA,6.4,11561,16.218,6.4,"drama","Spain"
"Holy Camp!","MOVIE",2017,NA,109,NA,6.2,3986,10.419,6.8,"comedy","Spain"
"Game Over, Man!","MOVIE",2018,"R",100,NA,5.4,29773,14,5.5,"comedy","USA"
"Forgotten","MOVIE",2017,NA,109,NA,7.4,29804,17.152,8,"thriller","Korea"
"Piercing","MOVIE",2018,"R",82,NA,5.5,7534,9.613,5.8,"thriller","France"
"Unit 42","SHOW",2017,NA,48,2,7,2311,14.82,6.6,"crime","Other"
"Innocent","SHOW",2017,"TV-14",51,1,8.4,17727,10.828,8.2,"drama","Turkey"
"Black Earth Rising","SHOW",2018,"TV-MA",59,1,7.4,4790,13.209,6.9,"crime","UK"
"On Body and Soul","MOVIE",2017,NA,116,NA,7.5,27003,7.263,7.2,"fantasy","Other"
"Mowgli: Legend of the Jungle","MOVIE",2018,"PG-13",105,NA,6.5,60870,25.389,6.5,"drama","UK"
"No Escape Room","MOVIE",2018,NA,85,NA,5,4277,12.13,6.3,"thriller","USA"
"I Am a Killer","SHOW",2018,"TV-MA",46,2,7.4,3937,6.502,7.2,"crime","UK"
"Goon: Last of the Enforcers","MOVIE",2017,"R",101,NA,5.8,13476,15.127,5.6,"comedy","Canada"
"Nailed It!","SHOW",2018,"TV-PG",33,6,7.4,4682,9.333,7.5,"reality","USA"
"Aggretsuko","SHOW",2018,"TV-14",16,4,8,6005,11.023,7.2,"animation","Japan"
"Immortals","SHOW",2018,"TV-MA",28,1,5.4,3087,13.668,6.1,"scifi","Turkey"
"Ricky Gervais: Humanity","MOVIE",2018,"R",79,NA,7.9,18523,9.049,7.8,"comedy","UK"
"To the Bone","MOVIE",2017,NA,107,NA,6.8,47025,29.932,7.2,"drama","USA"
"On My Block","SHOW",2018,"TV-14",29,4,7.9,15642,45.081,8.5,"comedy","USA"
"Sunderland 'Til I Die","SHOW",2018,"TV-MA",41,2,8.1,7943,3.481,8,"documentation","UK"
"Gypsy","SHOW",2017,"TV-MA",59,1,6.8,16133,13.117,6.3,"drama","USA"
"The Bar","MOVIE",2017,NA,102,NA,6.3,25934,10.152,6.3,"horror","Spain"
